2018-11-08 21:09:11.5684 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:09:11.5684 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:09:11.5684 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:09:57.5985 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:09:57.6633 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:09:57.6633 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:09:58.0762 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:09:58.0762 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:09:58.0762 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:10:26.3152 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:10:26.3611 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:10:26.3611 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:10:26.4110 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:10:26.4110 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:10:26.4110 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:11:55.0961 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:11:55.1280 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:11:55.1280 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:11:55.1657 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:11:55.1657 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:11:55.1657 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:12:55.8073 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:12:55.8532 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:12:55.8532 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:12:55.8981 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:12:55.8981 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:12:55.8981 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:13:51.9422 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:13:51.9901 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:13:51.9901 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:13:52.0320 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:13:52.0320 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:13:52.0320 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:14:26.1076 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:14:26.1714 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:14:26.1714 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:14:26.2861 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:14:26.2861 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:14:26.2861 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:14:47.7374 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:14:47.7933 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:14:47.7963 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:14:47.8631 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:14:47.8631 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:14:47.8811 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:16:16.8368 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:16:16.8737 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:16:16.8737 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:16:16.9076 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:16:16.9076 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:16:16.9076 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:17:58.1998 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:17:58.2357 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:17:58.2357 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:17:58.2746 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:17:58.2746 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:17:58.2746 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-08 21:18:47.5263 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-08 21:18:47.6121 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-08 21:18:47.6121 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-08 21:18:47.7029 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-08 21:18:47.7029 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-08 21:18:47.7029 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
